"id","sharemediatext","postlength","seniority","job_function","industry","continent","gender","connections","profile_completeness","company_size","ssi"
"129227591902308509","Who's using Sales Navigator for LinkedIn? Any tips? Was getting excited about linking Hubspot CRM with LinkedIn, even got the below image, and I was ready to 'astonish the world' only to find need 'Sales Navigator' - had it once before, not sure used it to full effect, so looking for help and tips! ","54","Director","Unknown","Tech & Media","Europe","Male","2165","64","1-10","73"
"104585790271430855","Has had a day of bankers, no really I have.  Meeting up with a rapidly growing investment management firm who are looking to drive more referrals and were amazed at how much insight and value they can get from LinkedIn before they even have to pay - caught them just in time perhaps?  Delighted to get two new clients starting with our training and also uplifting into the Sales Navigator training as well to get their social selling actually delivering results not just an enhanced SSI score but a better bottom line.  Interesting that one theme today has been the fear of putting 'stuff' out, of actually talking to people on LinkedIn and whilst I can completely understand the fear (Atelophobia for the record) everyone talks, but perhaps a better understanding of context, style and whom sees might help you? It is  bit like talking to your friends on a train about what you're up to at work. After all if you don't tell people what you're doing who will?  Finally a quick reminder, don't forget to click the three grey dots next to a message and click ""send to send"", otherwise you talk like the bush telegraph! Dear James <enter> and it sends the message - grrr - hit the three grey dots and change it to hit send to send to stop it doing so.  Have a great week all.","231","Director","Unknown","Prof Services","Europe","Male","1864","76","1-10","80"
"95707317326727535","9 LinkedIn Lead Generation Hacks You’ll Use http://buff.ly/2rWWV6Y  1) Nail the Basics Hack 2) Turbocharge Sales Navigator Hack 3) Customized Messages Hack 4) Hyper-Targeting Hack 5) Long Form Content Hack 6) LinkedIn Companies Hack 7) Data Mining Hack 8) Company Page Updates Hack 9) Inbound Leads Hack","47","Director","Unknown","Prof Services","Europe","Male","572","63","1-10","36"
"125311111665481856","Verizon Enterprise Solutions Makes the Right Connections with Sales Navigator [Case Study]","12","Director","Unknown","Prof Services","Europe","Male","604","62","1-10","56"
"124479495101061538","How to improve your LinkedIn engagement: 1. Keep your profile clearly focused on what you and your business does for your clients, the value you bring and results. 2. Use the keywords people who are searching for your business would use. 3. Leverage the many tools available such as Pulse and Showcase. 4. Reach out to people to connect with a personal message that finds common ground and a reason for them to connect to you. 5. As with any social media platform, seek to help and educate first and foremost. 6. If you can afford the cost, leverage Sales Navigator to build a prospecting list. write to us on sampada@blueskiessocial.com","111","Director","Unknown","Prof Services","Asia","Male","1956","57","1-10","61"
"79954334180161326","If you're a Marketer and looking for tools to boost social reach through LinkedIn then add these tools to your LinkedIn Marketing toolbox.  1. Oktopost - Post schedule and Content curation 2. Stencil - Visual Creation 3. Simply Measured - Post Analytics 4. Grammarly - Proof reading  5. LinkedIn Sales Navigator - Leads follow up  For more details on these tools, checkout the attached link below 👇  Shubham Bhatt, Manu Goswami, Ankur Chaudhary, I'd like to know which tools you use to manage your LinkedIn profile and for what purpose. Please do let me know via comments.   #RAHULOGY","98","Director","Unknown","Tech & Media","Asia","Male","671","72","1-10","65"
"79954334180161326","#LeverageLinkedIn  When we talk about the tools to boost sales and networking, LinkedIn is always on the top of the list.  So, here are few actionable LinkedIn tips that I usually suggest and include in business growth strategies -  1. Create Company Page. If you want to let your clients and consumers know about your company, LinkedIn company page is the best platform to get started.  2. Leverage LinkedIn Premium Tools. LinkedIn offers some of the best business oriented premium tools like InMail, Sales Navigator and many more that you can utilize to boost your sales.  3. Utilize LinkedIn Search Engine. Enter industry relevant keywords in search bar to find companies and people you would like to connect for future business.  4. Share Industry Relevant Posts & Articles. Sharing contents in various forms ( text, images, videos & articles) can be the best way to get exposure and build credibility with your audience and prospective consumers.  5. Create Sponsored posts Like other social sites, LinkedIn also offers to reach your target audience through paid advertisement. Use it to attract new consumers.  A strategic use of LinkedIn can help you grow your business to a new level. It's a powerful, leverage it!  #SmallBusiness #rahulogy","203","Director","Unknown","Tech & Media","Asia","Male","671","72","1-10","65"
"79954334180161326","#LeverageLinkedIn  When we talk about the tools to boost sales and networking, LinkedIn is always on the top of the list.  So, here are few actionable LinkedIn tips that I usually suggest and include in business growth strategies -  1. Create Company Page. If you want to let your clients and consumers know about your company, LinkedIn company page is the best platform to get started.  2. Leverage LinkedIn Premium Tools. LinkedIn offers some of the best business oriented premium tools like InMail, Sales Navigator and many more that you can utilize to boost your sales.  3. Utilize LinkedIn Search Engine. Enter industry relevant keywords in search bar to find companies and people you would like to connect for future business.  4. Share Industry Relevant Posts & Articles. Sharing contents in various forms ( text, images, videos & articles) can be the best way to get exposure and build credibility with your audience and prospective consumers.  5. Create Sponsored posts Like other social sites, LinkedIn also offers to reach your target audience through paid advertisement. Use it to attract new consumers.  A strategic use of LinkedIn can help you grow your business to a new level. It's a powerful, leverage it!  #smallbusiness #rahulogy","203","Director","Unknown","Tech & Media","Asia","Male","671","72","1-10","65"
"113103049328395472","Here's how LinkedIn Sales Navigator's new feature updates will affect four roles within your sales and marketing departments.","18","Partner","Entrepreneurship","Prof Services","Europe","Male","3323","72","1-10","86"
"77196286132521570","Are you a B2B Freelancer, Consultant or Self Employed  3 Things you can do, Starting Now, to get leads in the door on LinkedIn  1. Dump the boring 'CV/Resume Me, Me, Me' Profile 2. Take Prospects AWAY from LinkedIn 3. Use Sales Navigator","43","Senior","Human Resources","Prof Services","Latin America","Male","8288","63","1-10","74"
"92288779058720947","WEBINAR: 90% financial professional already have a LinkedIn account, but are they prospecting effectively? This interactive webinar demonstrates the top 3 ways to use LinkedIn Sales Navigator. Log in from your laptop, iPhone or Android device.  Date: December 1, 2017 from 1:30 - 2:00 PM EST. Invite others, but registration is required. Hope to see you there!  http://bit.ly/2z67LOx","58","Director","Human Resources","Prof Services","North America","Male","3941","69","1-10","82"
"92288779058720947","Financial professionals are getting ahead with LinkedIn Sales Navigator.   Amazing fact: professionals using this service generate $7.5 million annually (vs. $3.6 million on Free Service). If you are SERIOUS about prospecting and lead generation, Sales Navigator is the best tool.  http://bit.ly/2lx86UO","41","Director","Human Resources","Prof Services","North America","Male","3941","69","1-10","82"
"92288779058720947","More than 90% of financial professionals have a LinkedIn account. However, those using Sales Navigator have an average asset gain of $7.5 million. It is a costly service, but it can be worth it. Happy prospecting!","36","Director","Human Resources","Prof Services","North America","Male","3941","69","1-10","82"
"120638336465346782","#SocialSkim: LinkedIn's New Sales Navigator, Snapchat's Transformative Feature: 11 Stories This Week http://crwd.fr/2xHi4DV","13","Entry","Arts and Design","Tech & Media","Latin America","Male","266","66","1-10","34"
"81342457138922254","Who do you make better?  If you're selling an 80 page per minute printer to someone who prints 1 page documents, you probably won't sell many.  If you're selling reporting software that generates 24 reports to people who need 1 report you probably won't sell many.    Getting clear on your who changes everything.  Who is not about searching Sales Navigator for job titles or company size.  Who is about knowing what your prospects are hungry for.  Who is about knowing your prospect's hopes, dreams and aspirations.    Not everyone needs or wants what you think people need or want.  Focusing on getting a meeting or a sale gives you tunnel vision.  Your product's benefit only matters if it matters to the person you're speaking with.    Acknowledge that your prospects might not see the world like you see it.   Find people who share your world view.    Then you'll have a shot at starting conversations with them.    Who specifically do you want to make better?  Who do you want to leave out?   ","170","Senior","Arts and Design","Tech & Media","North America","Male","1975","73","1-10","79"
"81342457138922254","Selling into Enterprise accounts?  Identified your prospect using Sales Navigator?  Still not able to break through?   Try this.  Call the C-suite's Executive Assistant and ask for their help identifying the appropriate person.  (Even if you know who it is.)  ""Lisa Jones suggested I give you call"" gives you more more credibility than going in ""cold"".  When your messaging starts with ""Lisa Jones"" prospects feel more obligated to respond.  Here's a script:  SDR: ""Hi Lisa.  This is Josh.  I was hoping you could help me out for a moment.""  EA: ""Um Ok, who is this""  SDR:  ""Thanks. I'm Josh with ACME.  I noticed on Angel List that you folks are ramping up your SDR team.  We're hosting some online webinars for sales leaders on how SDR's are using new techniques to book meetings.  Based on that I thought I'd give Bob Peters a call, but since I have you on the phone, who do you think I should connect with?""  EA: ""I'm not sure.""  SDR: ""That's not a problem.  It's typically the person responsible for managing the sales team.  Maybe a VP of Sales?  EA: ""Actually that would be Chris Jenkins.""  Then go the extra mile and send the EA a hand written thank you note.  Don't think EA's has someone to get past.  Think of them as someone to include. ","220","Senior","Arts and Design","Tech & Media","North America","Male","1975","73","1-10","79"
"81342457138922254","Selling into Enterprise accounts?  Identified your prospect using Sales Navigator?  Still not able to break through?   Try this.  Call the C-suite's Executive Assistant and ask for their help identifying the appropriate person.  (Even if you know who it is.)  ""Lisa Jones suggested I give you call"" gives you more more credibility than going in ""cold"".  When your messaging starts with ""Lisa Jones"" prospects feel more obligated to respond.  Here's a script:  SDR: ""Hi Lisa.  This is Josh.  I was hoping you could help me out for a moment.""  EA: ""Um Ok, who is this""  SDR:  ""Thanks. I'm Josh with ACME.  I noticed on Angel List that you folks are ramping up your SDR team.  We're hosting some online webinars for sales leaders on new tactics SDR's are using to book meetings.  Based on that I thought I'd give Bob Peters a call, but since I have you on the phone, who do you think I should connect with?""  EA: ""I'm not sure.""  SDR: ""That's not a problem.  It's typically the person responsible for managing the sales team.  Maybe a VP of Sales?  EA: ""Actually that would be Chris Jenkins.""  Then go the extra mile and send the EA a hand written thank you note.  Don't think EA's has someone to get past.  Think of them as someone to include. ","219","Senior","Arts and Design","Tech & Media","North America","Male","1975","73","1-10","79"
"81342457138922254","Selling into Enterprise accounts?  Identified your prospect using Sales Navigator?  Still not able to break through?   Try this.  Call the C-suite's Executive Assistant and ask for their help identifying the appropriate person.  (Even if you know who it is.)  ""Lisa Jones suggested I give you call"" gives you more more credibility than going in ""cold"".  When your start your messaging with ""Lisa Jones"" prospects feel more obligated to respond.  Here's a script:  SDR: ""Hi Lisa.  This is Josh.  I was hoping you could help me out for a moment.""  EA: ""Um Ok, who is this""  SDR:  ""Thanks. I'm Josh with ACME.  I noticed on Angel List that you folks are ramping up your SDR team.  We're hosting some online webinars for sales leaders on how SDR's are using new techniques to book meetings.  Based on that I thought I'd give Bob Peters a call, but since I have you on the phone, who do you think I should connect with?""  EA: ""I'm not sure.""  SDR: ""That's not a problem.  It's typically the person responsible for managing the sales team.  Maybe a VP of Sales?  EA: ""Actually that would be Chris Jenkins.""  Then go the extra mile and send the EA a hand written thank you note.  Don't think EA's has someone to get past.  Think of them as someone to include. ","221","Senior","Arts and Design","Tech & Media","North America","Male","1975","73","1-10","79"
"81342457138922254","Selling into Enterprise accounts?  Identified your prospect using Sales Navigator?  Still not able to break through?   Try this.  Call the C-suite's Executive Assistant and ask for their help identifying the appropriate person.  (Even if you know who it is.)  ""Lisa Jones suggested I give you call"" gives you more more credibility than going in ""cold"".  When your start your messaging with ""Lisa Jones"" prospects feel more obligated to respond.  Here's a script:  SDR: ""Hi Lisa.  This is Josh.  I was hoping you could help me out for a moment.""  EA: ""Um Ok, who is this""  SDR:  ""Thanks. I'm Josh with ACME.  I noticed on Angel List that you folks are ramping up your SDR team.  We're hosting some online webinars for sales leaders on how SDR's are using new techniques to book meetings.  Based on that I thought I'd give Bob Peters a call, but since I have you on the phone, who do you think I should connect with?""  EA: ""I'm not sure.""  SDR: ""That's not a problem.  It's typically the person responsible for managing the sales team.  Maybe a VP of Sales?""  EA: ""Actually that would be Chris Jenkins.""  Then go the extra mile and send the EA a hand written thank you note.  Don't think EA's has someone to get past.  Think of them as someone to include. ","221","Senior","Arts and Design","Tech & Media","North America","Male","1975","73","1-10","79"
"128580490629817088","Bummed that LI took away the ""tag"" feature and moved it to the Sales Navigator. Ugh.","16","Director","Arts and Design","Tech & Media","North America","Male","1248","70","1-10","0"
"106569784389767034","Just finished the course “Learning LinkedIn Sales Navigator (2017)”!","9","Owner","Business Development","Aero & Auto","Latin America","Male","770","62","1-10","47"
"136191461579024698","Does anyone know how to get a refund from LinkedIn for Sales Navigator if you missed the cancellation date after the Trial Period ?  ","24","VP","Business Development","Prof Services","Europe","Male","2276","64","1-10","74"
"132876834911047725","Today I came to office, opened my Gmail ...and found that brand new Sales Navigator from Linkedin replaced old Rapportive.   You have an option to ""Unlock Full Version"" for €47.99* / month (when billed annually).   I like new features ...so let's check what LinkedIn changed in it comparing to Rapportive.   Btw, did you use Rapportive? It was a great tool for building a Linkedin network. ","64","Owner","Business Development","Staffing","Europe","Male","9823","62","1-10","77"
"86748868253517513","Microsoft ontwikkelt de verdere integratie tussen Dynamics 365 en LinkedIn: “The LinkedIn Sales Navigator integration with Dynamics 365 for Sales enables organizations to improve the performance of their sales processes ”","31","Owner","Business Development","Tech & Media","Europe","Male","1094","72","1-10","0"
"96803051315386201","5 Ways to Drive More Qualified Leads With LinkedIn Sales Navigator","11","Owner","Business Development","Prof Services","Europe","Male","809","67","1-10","43"
"92209030250658110","I bit the bullet...signed up to Linkedin Sales Navigator again...see what business comes of it!! :)","16","Director","Business Development","Tech & Media","Europe","Male","578","66","1-10","54"
"108320768686037954","LinkedIn I have got to say your customer support is the worst of all the platforms I use. Several times I have asked questions and been unanswered. Now I have an issue with a paid for product, Sales Navigator, and nearly 24 hours later, still nothing. Come on!   On a positive note, HubSpot is nailing CX for me!","54","Director","Business Development","Gov/Edu/Non-P","Europe","Male","16525","69","1-10","84"
"84816176948385472","Maybe LinkedIn should start using their own tools?   LinkedIn expect a lot of money for customers to use, for example, LinkedIn Sales Navigator and I have been trying to get in touch with LinkedIn (Microsoft) the last several days with the purpose of getting a demo of Sales Navigator value - unsuccessfully?  Is there a customer focus?","57","Owner","Business Development","Tech & Media","Europe","Male","4478","81","1-10","84"
"130743578575059205","How do you use LinkedIn?  1) To connect with people you know (or at least have interacted with) in real life 2) To learn and stay up to date by following people and reading their postings (this includes browsing the front page with all content) 3) As a sales and marketing tool for which you use the search and outreach capabilities (hint: this is only fully useful with Sales Navigator, which is expensive though) 4) To assist you in your next career move 5) To do well at your current job (show people what you do and what you are looking for, make it easier for others to help you) 6) Thought leadership / personal brand building by sharing insights and perspectives and being a curator for the benefit of your network  #6 is a big thing for me. This works well.   #2 – the learning part – is also a key reason for me using LinkedIn. I get lots of good insights and inspiration through my network on LinkedIn today.   I have a Sales Navigator subscription, but I could definitely do a better job getting value out of it.   Building my network/virtual rolodex used to be the main reason for using Linkedin, but today this just happens as a natural part of my interactions.   What can you share? Maybe you can add other reasons that are important and relevant for you and others?","234","Owner","Business Development","Prof Services","Europe","Male","9915","71","1-10","81"
"125569402649673666","4 Business Problems the #LinkedIn Sales Navigator Update Will Solve. https://lnkd.in/eBPTNPp","11","Owner","Business Development","Tech & Media","Europe","Male","482","64","1-10","53"
"91727320277180060","Interessant artikel met video van LinkedIn over Sales Navigator.  'Sellers need to identify the right people and companies, understand their unique situation, and engage them intelligently.' Hoe bouw jij aan relaties met LinkedIn?  ","33","Owner","Business Development","Prof Services","Europe","Male","2784","76","1-10","86"
"91727320277180060","Interessant artikel met video van LinkedIn over Sales Navigator.  'Sellers need to identify the right people and companies, understand their unique situation, and engage them intelligently.' Hoe doe jij dat?  ","30","Owner","Business Development","Prof Services","Europe","Male","2784","76","1-10","86"
"135580669132951082","Anyone find Sales Navigator useful? On week 3 if 4 trial. Only used it once. :)","16","Director","Business Development","Manufacturing","Europe","Male","5729","72","1-10","79"
"125977105297699731","Quality or Quantity?  I'm obviously biased, but I think we've done BOTH with the B2B Growth Show.  The podcast is daily, so we've nailed the QUANTITY part.  But it's also QUALITY because of the caliber of guests that we feature on the show.  I'm not a genius when it comes to B2B marketing (the focus of our show).   But I know how to find the geniuses...and I know how to get them on our podcast.  Here are the 4 tools that fuel our guest outreach process:  1) LinkedIn Sales Navigator   If you're not already using this, you're missing out big time.  2) Hunter (dot io)  This lets me find email addresses for pretty much anyone. So long as I know their company's website, I'm set.  3) Mailshake  This is hands down the most important tool in our outreach stack.  It allows us to send guest outreach at scale, and it send the emails directly from our Google email accounts.  4) Calendly  There are lots of scheduling tools, but I haven't found one that's cleaner and easier to use than this one.  #HowToPodcast  -----  Click the link in the first comment for the 26-part process that will show you how to start a podcast from start to finish.   No email address required :)","212","Owner","Business Development","Tech & Media","North America","Male","11016","73","1-10","88"
"134811560082443455","If you're a Social Selling professional in EMEA with Sales Navigator experience, we would love to hear from you!","19","Owner","Business Development","Retail/Consumer","North America","Male","1529","67","1-10","62"
"134811560082443455","If you're a Social Selling professional in EMEA with Sales Navigator experience, we would love to hear from you! #remote #smarketing","21","Owner","Business Development","Retail/Consumer","North America","Male","1529","67","1-10","62"
"127098376827178788","I just reached 10,000 connections! It took a while but let me explain what I did.   Here are a few tips to help you get that many connections.   1) Upgrade to Sales Navigator. You can search more people and Linkedin is more lenient with those that pay for their platform.   2) Join groups with your target market and start conversations. When other people comment on your discussion in a group and the group has a lot of engagement, many people will see it. Those people will click on your profile and likely want to connect.   3) Use an automated software to share content with your target market. When you search people, you can auto connect with a lot of your prospects and share valuable content. Be sure not to spam and make sure you are not connecting with more then 100 people a day.   4) Write content using status updates and articles. When people like and share your artilces or status updates, all their connections will see it. Those connections will likely reach out to you.   There is more... But use those for now and you will do  great. ","189","Owner","Business Development","Prof Services","North America","Male","19284","74","1-10","79"
"89557593086669259","""My favorite Sales Navigator feature is 25 Out-of-network unlocks per month #RealSales","12","Owner","Business Development","Retail/Consumer","North America","Male","2133","67","1-10","82"
"89298437838557479","LinkedIn Sales Navigator Adds New Integrations, Updates To Account Pages And Sales Alerts","13","Owner","Business Development","Tech & Media","North America","Male","15546","84","1-10","82"
"134851457041771942","Useful Tips by Rhonda Sher on LinkedIn Sales Navigator","9","CXO","Business Development","Tech & Media","North America","Male","6705","87","1-10","76"
"134851457041771942","Useful Tips by Rhonda Sher on LinkedIn Sales Navigator | Business Owners Roundtable","13","CXO","Business Development","Tech & Media","North America","Male","6705","87","1-10","76"
"96260548996136735","Here’s a detailed article about how to use LinkedIn Sales Navigator?  #marketing #sales https://lnkd.in/e8JGN5M","14","CXO","Business Development","Prof Services","North America","Male","3184","70","1-10","57"
"96260548996136735","Here’s a detailed article about how to use LinkedIn Sales Navigator?  #marketing #sales https://lnkd.in/e8JGN5M","14","CXO","Business Development","Prof Services","North America","Male","3184","70","1-10","57"
"96260548996136735","Here’s a detailed article about how to use LinkedIn Sales Navigator?  #marketing #sales https://lnkd.in/e8JGN5M","14","CXO","Business Development","Prof Services","North America","Male","3184","70","1-10","57"
"84552894039509834","5 Ways to Drive More Qualified Leads With LinkedIn Sales Navigator    https://drumup.io/s/O8qljY #qualifiedleads #client #salesnavigator #seo #vitalconsulting","17","CXO","Business Development","Tech & Media","North America","Male","821","61","1-10","53"
"112237976059349375","“InsideSales.com Partners with LinkedIn to Integrate Predictive Playbooks and LinkedIn Sales Navigator”","12","Entry","Engineering","Tech & Media","North America","Male","539","64","501-1000","49"
"141670636538759267","In case you missed it: Park Place Technologies is leveraging LinkedIn Sales Navigator and Microsoft Dynamics 365 to supercharge our sales team. ","22","Entry","Engineering","Tech & Media","North America","Male","159","63","501-1000","39"
"92301596621091298","Today, I'm starting my journey with LinkedIn Sales Navigator.  I'm looking to see if this hype is truly worth the price, or if I've been duped. I'm giving it a 3-month trial. If you have some tips to share, please feel free to drop a comment!","46","Senior","Support","Tech & Media","North America","Male","2535","62","501-1000","67"
"82201603545001894","Just finished the course “Dynamics 365: Set Up the LinkedIn Sales Navigator Integration”!","13","Senior","Research","Tech & Media","North America","Male","0","54","1-10","0"
"82201603545001894","Just finished the course “Dynamics 365: Set Up the LinkedIn Sales Navigator Integration”!","13","Senior","Research","Tech & Media","North America","Male","0","54","1-10","0"
"82201603545001894","Just finished the course “Dynamics 365: LinkedIn Sales Navigator Integration”!","10","Senior","Research","Tech & Media","North America","Male","0","54","1-10","0"
"119760687086225522","I’m such a geek when it comes to productivity hacks. Not sure where’d I’d be without a few of the handy Chrome Extensions below.  The favorites that I use everyday are:  -Boomerang for Gmail -Docusign -Toofr -Grammarly -UberConference -Google Docs -LinkedIn Sales Navigator -LeadIQ  I’ve been on these for a while and want to learn about some new ones. Chip if you have any must-try’s!  Oh, and see the top 60 here! - https://lnkd.in/eprMZVt","74","Senior","Media and Communication","Gov/Edu/Non-P","North America","Male","16531","75","1-10","86"
